# Column descriptions:
# id	Object ID, according to EcoCyc
# flux-avg	A floating point number in mmol/g DCW/h units
# flux-std	A floating point number in mmol/g DCW/h units
id	flux-avg	flux-std
3.2.1.21-RXN	-8.476755789397398e-21	7.652406513107024e-18
3.2.1.52-RXN	0.0	0.0
3.2.2.10-RXN	2.59407414575628	2.1254171491729568
3.2.2.23-RXN	0.0	0.0
3.4.11.1-RXN	0.0	0.0
3.4.11.18-RXN	0.0	0.0
3.4.11.2-RXN	0.0	0.0
3.4.11.4-RXN	-1.462717961151036e-18	4.3933631085999716e-16
3.4.11.9-RXN	0.0	0.0
3.4.13.18-RXN	0.03194348192761703	0.028862016145530998
3.4.13.21-RXN	0.0	0.0
3.4.13.22-RXN	0.011177682636909995	0.018518387766626596
3.4.13.9-RXN	0.0	0.0
3.4.15.5-RXN	0.0	0.0
3.4.17.8-RXN	0.0	0.0
3.4.19.12-RXN	0.0	0.0
3.4.21.102-RXN	0.0	0.0
3.4.21.107-RXN	0.0	0.0
3.4.21.53-RXN	0.0	0.0
3.4.21.92-RXN	0.0	0.0
3.4.23.43-RXN	0.0	0.0
3.4.24.55-RXN	0.0	0.0
3.5.1.88-RXN	0.0	0.0
3.5.2.17-RXN	0.0	0.0
3.6.1.41-RXN	0.0	0.0
3.6.3.23-RXN	0.0	0.0
3.6.3.3-RXN	0.0	0.0
3.6.3.39-RXN	-1.4114503518900259e-24	5.3870586381414305e-20
3.6.3.53-RXN	0.0	0.0
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	0.1167857035338741	0.0356811650112669
3PGAREARR-RXN	0.0730245999608551	6.173798245445526
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	0.0	0.0
4-NITROPHENYLPHOSPHATASE-RXN	0.0	0.0
4.1.2.28-RXN	0.0	0.0
4.2.1.58-RXN	0.35417167994190923	0.37964182152183207
4.2.1.59-RXN	0.4043225129499991	0.3738166667461636
4.2.1.61-RXN	0.15174450934123435	0.27965709510371944
4.2.1.99-RXN	0.0	0.0
4.2.99.18-RXN	2.1549444288801062e-19	6.539453320495598e-17
4.3.1.15-RXN	0.0	0.0
4.3.1.17-RXN	2.334088429088016	3.3714852144426146
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	0.00040770419701061035	0.0015981044323933895
5-FORMYL-THF-CYCLO-LIGASE-RXN	0.0	0.0
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	0.0	0.0
5-NUCLEOTID-RXN	6.649437872129724e-19	4.303512262365408e-16
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	0.008385841767134194	0.01944166393354779
5.1.3.20-RXN	0.06320858158686589	0.026856761656515758
5.3.1.17-RXN	0.0	0.0
5.3.3.14-RXN	1.790007480042313e-18	8.473083716733309e-16
5.4.2.10-RXN	0.12138372149112223	0.8606613132664566
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	1.0947902086939209e-20	9.931147393368947e-18
6PFRUCTPHOS-RXN	0.3750721996945085	0.4431913768970322
6PGLUCONOLACT-RXN	2.5643072777730653	28.459988966786412
7-ALPHA-HYDROXYSTEROID-DEH-RXN	0.0	0.0
ABC-10-RXN	0.0	0.0
ABC-11-RXN	0.0	0.0
ABC-12-RXN	0.0	0.0
ABC-13-RXN	0.0	0.0
ABC-14-RXN	0.12034629938264445	0.016884951099401805
ABC-15-RXN	0.0	0.0
ABC-16-RXN	0.0	0.0
ABC-18-RXN	0.0	0.0
ABC-19-RXN	0.0	0.0
ABC-2-RXN	0.0	0.0
ABC-20-RXN	0.0	0.0
ABC-22-RXN	0.0	0.0
ABC-23-RXN	0.0	0.0
ABC-24-RXN	0.0	0.0
ABC-25-RXN	0.0	0.0
ABC-26-RXN	0.0	0.0
ABC-27-RXN	0.0	0.0
ABC-28-RXN	0.0	0.0
ABC-3-RXN	0.0	0.0
ABC-32-RXN	0.0	0.0
ABC-33-RXN	0.0	0.0
ABC-34-RXN	0.0	0.0
ABC-35-RXN	0.0	0.0
ABC-36-RXN	0.0	0.0
ABC-37-RXN	0.0	0.0
ABC-4-RXN	0.48891582769415115	0.09829856641034534
ABC-42-RXN	0.0	0.0
ABC-5-RXN	0.0	0.0
ABC-56-RXN	0.0	0.0
ABC-63-RXN	0.0	0.0
ABC-64-RXN	0.0	0.0
ABC-7-RXN	0.0	0.0
ABC-70-RXN	0.0	0.0
ABC-8-RXN	0.0	0.0
ABC-9-RXN	0.0	0.0
ACECOATRANS-RXN	1.1728609881933425	4.992785632079153
ACETALD-DEHYDROG-RXN	0.6651982604286771	6.64097150969905
ACETATE--COA-LIGASE-RXN	0.0034074693628338027	0.09974139653728305
ACETATEKIN-RXN	0.25480629598063004	1.55470676552974
ACETOACETYL-COA-TRANSFER-RXN	0.0	0.0
ACETOLACTREDUCTOISOM-RXN	-0.07866099664430715	0.06147129866606992
ACETOLACTSYN-RXN	0.225114497529679	0.7861411428281386
ACETOOHBUTREDUCTOISOM-RXN	-0.015174788832490857	0.025530561547036944
ACETOOHBUTSYN-RXN	0.015174788832490854	0.025530561547036947
ACETYL-COA-ACETYLTRANSFER-RXN	0.00010047542995994085	4.926187937360956e-05
ACETYLESTERASE-RXN	0.0	0.0
ACETYLGLUTKIN-RXN	0.09468681995535445	1.531859422628745
ACETYLORNDEACET-RXN	0.09448869718918296	1.5318572404237831
ACETYLORNTRANSAM-RXN	-0.09468681995535445	1.531859422628745
ACID-PHOSPHATASE-RXN	0.0	0.0
ACNEULY-RXN	0.0	0.0
ACONITATE-DELTA-ISOMERASE-RXN	0.0	0.0
ACONITATEDEHYDR-RXN	-0.1569283135978765	1.8942526049809862
ACONITATEHYDR-RXN	-0.1569880277247091	1.8942534471381043
ACP-S-ACETYLTRANSFER-RXN	0.13518946253065744	0.29513667738494126
ACSERLY-RXN	0.1534703020092343	0.0902882232632211
ACYL-COA-HYDROLASE-RXN	0.0	0.0
ACYLCOADEHYDROG-RXN	0.014020278433630302	0.660310207787836
ACYLCOASYN-RXN	0.01671050925830308	0.267974974921725
ACYLGPEACYLTRANS-RXN	8.591847738472591e-19	6.720880679376024e-17
ACYLPHOSPHATASE-RXN	0.0	0.0
ADCLY-RXN	0.0008216720647505895	0.0003542219278420116
ADDALT-RXN	3.5164044645610495e-09	1.5168066413277324e-06
ADENINE-DEAMINASE-RXN	0.0013066510525392206	0.00199811656348211
ADENODEAMIN-RXN	8.387446065046331e-05	0.0036007699251383047
ADENOSINE-NUCLEOSIDASE-RXN	3.6615850036668973e-13	4.7280335430177355e-09
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	0.003241983110614913	0.009358049226199441
