# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
# validation-count	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass	validation-count
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	170.53649864205346	60.87336528326231	0.0001977517665684116	5.4434827765943817e-05	2.8894073701948815e-05	3.3845485101319214e-05	1.6483021691299464e-05	43.0
1-PFK-MONOMER	96.33222468399666	85.76520418838588	0.00011144724744621467	9.343029311892157e-05	1.6321611045471015e-05	2.34931100930725e-05	1.144133234022126e-05	56.0
2-DEHYDROPANTOATE-REDUCT-MONOMER	247.87230963223132	145.38401885873233	0.00028761007172152677	0.00015133840658855676	4.199711405016407e-05	6.064899898410148e-05	2.9536547129341602e-05	25.0
2-ISOPROPYLMALATESYN-MONOMER	3143.6280630373076	1422.2808790394708	0.003638327510334292	0.0013629285818004262	0.0005326262804044447	0.0013012104185010534	0.0006336998713090312	2711.0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	389.0631725919422	172.69608613491118	0.00045569120478771146	0.00018705487199858638	6.59191438378311e-05	7.89273676888699e-05	3.8438258744357686e-05	929.0
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	67.51406189377387	31.39073519109373	7.913885192758837e-05	3.450314766322918e-05	1.1438937094464243e-05	3.083745320753355e-05	1.5018086122937433e-05	3.0
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	3934.1432582548855	1165.4161564075155	0.004565426115268671	0.000901576281730764	0.0006665636163706858	0.0008024543292520677	0.00039080167046633477	nan
3-ISOPROPYLMALDEHYDROG-MONOMER	4789.802638296134	1960.7749448782379	0.00555146846284536	0.0018205549449818114	0.0008115383601208135	0.0013672806183959712	0.0006658765866007843	4588.0
3-OXOACYL-ACP-REDUCT-MONOMER	3819.396859876253	1015.0702960806007	0.004453479947389827	0.0007836325515337558	0.0006471220838061854	0.0007054406216279855	0.00034355521965216684	4675.0
3-OXOACYL-ACP-SYNTHII-MONOMER	1592.4900247085009	465.2452308256959	0.0018541780555786974	0.0003877737839458878	0.00026981628278956003	0.0004952514105748917	0.00024119139432380048	1917.0
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	52.48269383921096	32.21364892914583	6.0927339935474736e-05	3.425249359571933e-05	8.892165817535029e-06	1.2331716675351457e-05	6.005644559157305e-06	nan
6PFK-1-MONOMER	3192.0553924771802	808.212816091022	0.0037197121795602577	0.0006051444937075671	0.0005408313440545506	0.0008034766643823498	0.0003912995558438902	1448.0
6PFK-2-MONOMER	165.69078383124707	167.1976731740213	0.00019532282951086015	0.00019626690143686597	2.8073062117936277e-05	3.884948218938811e-05	1.8920008258309077e-05	939.0
6PGLUCONDEHYDROG-MONOMER	6357.382254293358	2175.604534612172	0.007394200085617707	0.0019490036274004447	0.001077134061445522	0.0023643800461609936	0.00115147197538109	14100.0
6PGLUCONOLACT-MONOMER	1075.1338445202261	439.80319871089057	0.0012533175591961654	0.0004421169186777669	0.0001821603984507192	0.00028191570194024523	0.00013729519953070062	1802.0
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	602.4719145004186	276.9354369141363	0.0007021981515871998	0.00027733123447374285	0.00010207708050502103	0.0001165537871081705	5.6762625660584556e-05	197.0
7KAPSYN-MONOMER	141.6387504849809	70.30247632324999	0.000164847136260545	7.312620147329881e-05	2.3997915567358677e-05	4.256909730439223e-05	2.0731490541407114e-05	72.0
AAS-MONOMER	61.14330164791407	46.53635638835983	7.086507556597369e-05	5.0796448012588616e-05	1.035953639404476e-05	3.566138642278428e-05	1.7367380145059706e-05	6.0
ABC-MONOMER	302.12084192685467	107.26275603736427	0.0003500215293372077	9.319070588655024e-05	5.118846665107216e-05	8.24838992915865e-05	4.017031805383069e-05	1090.0
ABGT-MONOMER	11.602969104163689	26.39586906978913	1.3727402078256385e-05	3.065542193606501e-05	1.9658961402791927e-06	4.602323483021462e-06	2.241368311723882e-06	nan
ACETATEKINA-MONOMER	2597.3556441567457	832.9054634731222	0.0030162871750024885	0.0007057730915526675	0.0004400711050715289	0.0008123108681272795	0.0003956018836585788	nan
ACETOLACTSYNIII-HCHAIN-MONOMER	437.3185865103837	225.88424077699122	0.0005046802791058159	0.00022134006914871303	7.409507976579948e-05	5.68111194820906e-05	2.7667469144763583e-05	1533.0
ACETOLACTSYNIII-ICHAIN-MONOMER	261.64494292540485	131.09715673265222	0.00030217285141301135	0.00012788967257022934	4.4330617344834965e-05	0.00011905876761579373	5.7982571184184885e-05	441.0
ACETYL-COA-ACETYLTRANSFER-MONOMER	255.37974770782708	242.35640805858046	0.00029834101350381973	0.00026295892832368706	4.326910257342081e-05	7.446390773252591e-05	3.626451807973365e-05	nan
ACETYLGLUTKIN-MONOMER	348.14751842927444	113.78480572338631	0.00040609612948563163	0.00010566158210580033	5.898678662190758e-05	6.831073246939006e-05	3.3267872558801754e-05	6391.0
ACETYLORNDEACET-MONOMER	655.2402467787058	237.60976203337165	0.0007632145926086004	0.0002273731432077484	0.00011101764216846879	0.00020043410900350288	9.761301268074444e-05	2145.0
