# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass
ACRD-MONOMER	8.144801413645474	18.85026338509948	1.3453090742952845e-05	3.123250979853322e-05	1.822125014197142e-06	8.730816869870094e-06	4.4976580109644005e-06
ACRF-MONOMER	0.3858469420429075	2.7907275682839803	6.192676752020441e-07	4.411281152361475e-06	8.632025865848315e-08	4.0776861120236813e-07	2.1006095857115913e-07
ACS-MONOMER	317.06144614034463	220.78488130959875	0.0005123433855196584	0.0003373680690852442	7.093182052074879e-05	0.00021671316881787038	0.00011163923540520646
ACSERLYA-MONOMER	13580.253832378648	3291.784824529226	0.021983416506514725	0.002997610909267918	0.0030381244367317646	0.004441391981845556	0.0022879717356020937
ACSERLYB-MONOMER	586.9269007720496	245.79307024399617	0.0009491210923668021	0.000335388747166445	0.00013130512741664084	0.0001817755907701181	9.364123130865449e-05
ACYLCOADEHYDROG-MONOMER	17.925233334519277	23.521236970415426	2.9426571180001936e-05	3.783618409734028e-05	4.01016726932438e-06	1.516784604189384e-05	7.813677147991026e-06
ACYLCOASYN-MONOMER	56.18949490636971	37.03058727722763	9.091972787429059e-05	5.548908834735066e-05	1.2570507125252754e-05	3.32117298715616e-05	1.7108937816609736e-05
ADCLY-MONOMER	1314.715793218771	334.70794395323674	0.002127664231630322	0.00032572219551460773	0.00029412338149466813	0.0003704459125412276	0.00019083426568250315
ADENODEAMIN-MONOMER	209.61577542960828	160.4510350763363	0.0003380331692286114	0.00023993057402515113	4.6894470274096874e-05	7.232278159190078e-05	3.725689621604457e-05
ADENPRIBOSYLTRAN-MONOMER	1821.5420168166886	538.8771235927277	0.002946548157210586	0.0006322871137820873	0.0004075086800387975	0.0003429780847480026	0.00017668428435093646
ADENYL-KIN-MONOMER	4974.605462458937	1427.4028913115387	0.00800223747056719	0.0013531817432978577	0.0011129004365560242	0.0011124987348324652	0.0005731008817942881
ADENYLATECYC-MONOMER	77.77153259567605	20.812864948983627	0.00012574994008945713	2.1258203696285674e-05	1.7398761214437392e-05	7.195946972803824e-05	3.7069737037317686e-05
ADENYLOSUCCINATE-SYN-MONOMER	3948.09727114242	967.8596307462035	0.006393833168327633	0.0009170299126824698	0.0008832537996788557	0.001772268554892228	0.0009129796194671454
ADENYLYLSULFKIN-MONOMER	659.7214999822108	206.17115158717837	0.0010617294053229956	0.00022332577727050183	0.00014759046740013868	0.0001396120815514023	7.192080722527201e-05
ADHC-MONOMER	274.58441906523876	302.9873292859836	0.00044300495386062806	0.00046766877071910444	6.142901626175122e-05	0.00010246874562134793	5.278651258942122e-05
ADHE-MONOMER	2453.23726711021	851.7166531586913	0.003979504329399616	0.0011391489545102792	0.0005488292179442354	0.0022362212175461404	0.0011519836486427889
ADHP-MONOMER	202.28730209556338	204.51217095346922	0.00033158382883980277	0.00032770731841876645	4.525497117526456e-05	6.785900679071293e-05	3.495739402822669e-05
AERGLYC3PDEHYDROG-MONOMER	14454.289183003048	2922.7950072860895	0.023505024545120635	0.00245535508102994	0.0032336604105121817	0.007778924765775685	0.004007293224786303
AGAB-MONOMER	4.589601641346758	15.796448990189797	7.486175607633192e-06	2.6054961761997755e-05	1.026768797811011e-06	7.66959488080316e-07	3.950972213784292e-07
AGAC-MONOMER	4.327128473334045	16.46830646984575	7.084331901155845e-06	2.756601430738763e-05	9.68049266087343e-07	1.1753341716812995e-06	6.054703965977537e-07
AGAD-MONOMER	4.027352616785854	14.733376861967901	6.5831748083003155e-06	2.4487512964690257e-05	9.009845140906026e-07	1.107871318737398e-06	5.707170802118877e-07
AGAX-MONOMER	40.50755090665433	35.15294842712311	6.56928370011343e-05	5.54192898336511e-05	9.06220029468379e-06	6.352250121699555e-06	3.2723454257879413e-06
AGMATIN-MONOMER	1072.5144151516229	498.5668302827042	0.0017489163881570051	0.0007419029280848175	0.00023993898005428459	0.00034116524433518435	0.00017575040424248412
AICARTRANSIMPCYCLO-CPLX	974.245198704949	391.71631643150874	0.0015679354540540516	0.0005063693236120903	0.00021795455240291792	0.0005295574955021733	0.00027280019125484564
AIRS-MONOMER	1351.5705624933291	405.9098682213186	0.0021911797714379965	0.0004969103573305184	0.0003023683949182157	0.0004721397025351195	0.00024322156185976963
AKBLIG-MONOMER	124.11002478623357	175.48998769668805	0.00020002133283258939	0.00027318763443187735	2.7765438245891534e-05	5.073702095503395e-05	2.61370467565737e-05
ALARACEBIOSYN-MONOMER	60.81336796290367	28.91166978905892	9.870970300610715e-05	4.396756525742378e-05	1.3604942998012937e-05	2.2578839716248368e-05	1.1631431610771679e-05
ALARACECAT-MONOMER	154.7097852255073	63.368867319728096	0.0002522256411324212	9.250770623591395e-05	3.461110409987152e-05	5.698843213408789e-05	2.9357445258612458e-05
ALAS-MONOMER	1170.0986254906843	329.96005128024	0.001890613953443324	0.000359862421857899	0.00026177016065883344	0.0010653588731419307	0.0005488169024452468
ALDDEHYDROGB-MONOMER	23.676313136703786	67.21664280522752	3.739947945460248e-05	9.928953824517841e-05	5.29677768914971e-06	1.2639757236289434e-05	6.511338656824706e-06
ALDHDEHYDROG-MONOMER	61.88012713321711	93.8433681279807	0.00010001971847552371	0.0001442293494847006	1.3843594435860862e-05	3.134170325671211e-05	1.6145598382241373e-05
ALDOSE1EPIM-MONOMER	656.2558318805517	214.19086550903916	0.0010610577539282072	0.00025875732361439573	0.00014681514087979422	0.00023757751628180688	0.00012238745071121768
ALKAPHOSPHA-MONOMER	24.184653882188304	44.24059327527962	3.876622548624241e-05	6.926117455768809e-05	5.410501810959622e-06	1.1336940818160202e-05	5.8401961065741855e-06
ALPHA-AMYL-CYTO-MONOMER	271.2714460217502	172.60862164085287	0.0004434030389274669	0.0002728528633122404	6.068785011818045e-05	0.00014559382682229524	7.500228802348055e-05
ALPHA-AMYL-PERI-MONOMER	24.61091305843147	54.991478865398655	3.87986101566027e-05	8.13750387662996e-05	5.5058629460098266e-06	1.7665893256860407e-05	9.100539790470076e-06
ALPHACOMP-MONOMER	675.7106557085424	262.74489808565806	0.0010817645113476433	0.0003218611601398465	0.0001511675025082055	0.0004244944945088824	0.0002186772546366061
ALPHAGALACTOSID-MONOMER	28.794558888058727	42.730425439454585	4.5195080230620274e-05	6.326681411306472e-05	6.441812802802394e-06	1.3828428564099775e-05	7.123679655337646e-06
ALTRO-OXIDOREDUCT-MONOMER	29.61938544372102	50.37200637507422	4.830359413921942e-05	7.954488546934063e-05	6.626339965972802e-06	1.5388888948839428e-05	7.927546836934059e-06
ALTRODEHYDRAT-MONOMER	45.38058609361843	39.256678684085735	7.301835560341043e-05	5.985210665755236e-05	1.015237780280009e-05	2.327162868183082e-05	1.1988320076925706e-05
AMINEOXID-MONOMER	23.84434245324415	76.45618933612057	3.787148225179357e-05	0.00012012097394071475	5.334368589803678e-06	1.9075681156612224e-05	9.826788426260531e-06
AMP-NUCLEOSID-MONOMER	1259.3795045125175	479.9833184363276	0.00204282177190368	0.0006694164438690307	0.0002817437505222575	0.0006447465317403492	0.00033213952906638414
AMPG-MONOMER	22.821830860639697	10.242246216930116	3.6918400996395575e-05	1.4476511436440481e-05	5.1056160572901545e-06	1.152433762319226e-05	5.936733092052625e-06
AMTB-MONOMER	29.144241647988046	59.14849844575136	4.6809389972948064e-05	9.531095349485999e-05	6.520042543656876e-06	1.2302876381414748e-05	6.337795344869955e-06
AMYLOMALT-MONOMER	60.869380106972166	56.89720937178266	9.92164869123498e-05	8.832781859109588e-05	1.3617473828861069e-05	4.5311024758974825e-05	2.334185867481626e-05
ANGLYC3PDEHYDROGSUBUNITA-MONOMER	197.53636935045836	151.0633857848582	0.0003184190510249394	0.00021914430000341507	4.4192109976325945e-05	0.00011043523516647273	5.6890429331226365e-05
ANGLYC3PDEHYDROGSUBUNITB-MONOMER	190.0567640326846	144.45530032625317	0.00030653897357103035	0.0002093346639958424	4.251880018598478e-05	8.173780144867905e-05	4.210701964817856e-05
ANGLYC3PDEHYDROGSUBUNITC-MONOMER	181.31000106734976	141.86535454497343	0.0002922973049263476	0.00020633678733476729	4.056200654756796e-05	7.585764916860452e-05	3.9077874219709474e-05
ANSA-MONOMER	431.05319434067434	189.23766336068326	0.0006957542994256229	0.000249377977632684	9.64336351457068e-05	0.0001517240446023805	7.816025405558302e-05
ANSB-MONOMER	18.42327059688571	38.90776606285473	3.0283485229013634e-05	6.0570170690666596e-05	4.1215863337892025e-06	6.437975510039125e-06	3.316506640638189e-06
ANSP-MONOMER	13.532714270466432	25.409233289660996	2.160213299955916e-05	4.039658421169298e-05	3.027489060799934e-06	6.960652055491999e-06	3.5857621280499062e-06
ANTHRANSYNCOMPI-MONOMER	1165.9700976032068	522.6641910583062	0.0018971276521973423	0.0007703583799223517	0.0002608465415853248	0.0006355646703872106	0.00032740951664188544
ANTHRANSYNCOMPII-MONOMER	544.9966437779439	250.78247483528142	0.000886642151269997	0.0003715351387638231	0.00012192464454904464	0.0002938681743977918	0.0001513854394666026
APHA-MONOMER	58.29551594501963	54.149605631299046	9.529185491886234e-05	8.738218866361386e-05	1.3041658405690407e-05	1.4430957229338274e-05	7.434070758305076e-06
APPA-MONOMER	32.47624198005242	49.20956404960023	5.0844302263976316e-05	7.237822537509252e-05	7.265465402241989e-06	1.4491763370656562e-05	7.4653948866990444e-06
APPB-MONOMER	17.011285444906964	37.16161404318893	2.6649214201625524e-05	5.541456951480821e-05	3.805702209127177e-06	6.844611455226757e-06	3.525984109204821e-06
APPC-MONOMER	18.462821835604416	38.4449834985683	2.8960230037993283e-05	5.763485947770361e-05	4.130434591438689e-06	1.0140943908581215e-05	5.224081353323538e-06
AQPZ-MONOMER	37.304728359483406	60.22949876510903	5.938942084153056e-05	9.05538647764005e-05	8.34567661499561e-06	8.385403941238404e-06	4.319719423005664e-06
ARABISOM-MONOMER	14.466422362163637	40.625386811644184	2.3458936619645484e-05	6.510206806256952e-05	3.2363748007259455e-06	7.691395736893404e-06	3.9622028691171905e-06
ARAE-MONOMER	4.623937097520191	7.3594535782881305	7.450100338977637e-06	1.124693019872885e-05	1.0344501997740675e-06	2.266817756602437e-06	1.1677453775904246e-06
ARAF-MONOMER	92.1254562920269	74.28887585336835	0.00015019377986994468	0.00011564054141754213	2.060996822743829e-05	3.10487432586884e-05	1.5994680787514286e-05
